episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
352,206276.6182,-0.13,-0.01,128.03,-0.07,-0.02,28.18
353,206257.4378,0.13,0.06,128.03,0.09,0.04,28.18
354,206212.0939,0.22,0.02,128.03,0.14,-0.0,28.18
355,206296.9313,-0.1,-0.03,128.03,-0.08,-0.01,28.18
356,206281.6427,0.12,-0.14,128.03,0.07,-0.1,28.18
357,206208.3481,-0.14,-0.16,128.03,-0.09,-0.09,28.18
358,206307.6832,0.0,0.01,128.03,-0.03,0.02,28.18
359,206194.9036,-0.16,0.14,128.03,-0.11,0.1,28.18
360,206308.2717,0.07,-0.07,128.03,0.06,-0.05,28.18
361,206182.6844,0.12,0.24,128.03,0.1,0.17,28.18
362,206311.1285,0.04,0.05,128.03,0.07,0.04,28.18
363,206284.5893,0.12,0.05,128.03,0.11,0.03,28.18
364,206201.8128,-0.27,0.02,128.03,-0.16,0.02,28.18
365,206245.9026,0.2,-0.05,128.03,0.16,-0.02,28.18
366,206247.2247,0.05,0.09,128.03,-0.01,0.06,28.18
367,206295.6140,-0.05,0.02,128.03,-0.03,-0.03,28.18
368,206151.4954,-0.08,-0.22,128.03,-0.03,-0.13,28.18
369,206253.4773,-0.07,-0.1,128.03,-0.02,-0.12,28.18
370,206267.3063,-0.03,-0.19,128.03,0.01,-0.15,28.18
371,206305.7073,-0.09,0.03,128.03,-0.05,0.01,28.18
372,206243.1197,-0.21,-0.14,128.03,-0.15,-0.11,28.18
373,206257.4857,0.14,-0.07,128.03,0.09,-0.07,28.18
374,206235.0539,0.15,0.05,128.03,0.08,0.04,28.18
375,206305.4642,-0.02,-0.13,128.03,0.01,-0.11,28.18
376,206327.4292,-0.06,0.07,128.03,-0.05,0.08,28.18
377,206156.5627,0.12,-0.25,128.03,0.08,-0.16,28.18
378,206141.8503,-0.27,-0.26,128.03,-0.19,-0.22,28.18
379,206234.7971,0.08,0.09,128.03,0.08,0.03,28.18
380,206327.5032,-0.0,0.05,128.03,0.03,0.04,28.18
381,206151.1706,-0.02,0.33,128.03,-0.01,0.21,28.18
382,206291.5895,-0.15,0.02,128.03,-0.13,-0.01,28.18
383,206313.9094,0.08,0.07,128.03,0.07,0.05,28.18
384,206301.0881,-0.04,0.09,128.03,-0.0,0.07,28.18
385,206289.2038,0.03,0.11,128.03,-0.0,0.07,28.18
386,206155.7038,-0.1,-0.27,128.03,-0.05,-0.17,28.18
387,206238.8951,0.05,-0.11,128.03,0.07,-0.04,28.18
388,206293.0661,0.05,-0.15,128.03,0.05,-0.16,28.18
389,206230.7747,-0.16,0.11,128.03,-0.12,0.07,28.18
390,206298.1415,-0.08,0.03,128.03,-0.08,0.04,28.18
391,206223.5174,0.1,0.07,128.03,0.04,0.02,28.18
392,206242.5662,0.09,-0.14,128.03,0.08,-0.08,28.18
393,206240.9160,-0.01,-0.11,128.03,0.02,-0.05,28.18
394,206180.6578,0.2,-0.27,128.03,0.12,-0.19,28.18
395,206282.9959,0.12,0.0,128.03,0.07,0.02,28.18
396,206308.5754,-0.04,0.13,128.03,-0.06,0.11,28.18
397,206230.7700,0.11,0.23,128.03,0.09,0.18,28.18
398,206271.8570,-0.02,-0.02,128.03,0.03,0.01,28.18
399,206273.6442,0.11,-0.09,128.03,0.09,-0.05,28.18
